Type,Name,Description,Genre,Release Date,Season,Cast,Platform,Link
TV Show,Gossip Girl,These hyperprivileged Manhattan private-school kids seem to get away with everything. Except an anonymous blogger is watching their every move.,Drama,2007,6 Seasons,"Blake Lively, Leighton Meester, Penn Badgley",Netflix,https://www.netflix.com/ca/title/70143811
TV Show,Grey's Anatomy,Intern (and eventual resident) Meredith Grey finds herself caught up in personal and professional passions with fellow doctors at a Seattle hospital.,Drama,2005,20 Seasons,"Ellen Pompeo, Sandra Oh, Katherine Heigl",Netflix,https://www.netflix.com/ca/title/70140391
TV Show,Grizzy and the Lemmings,"Grizzy the bear loves to snack and relax in a Canadian forest cabin, where a pack of adorable, thrill-seeking lemmings are always making mayhem.",Kids,2017,3 Seasons,"Josselin Charier, Pierre-Alain de Garrigues",Netflix,https://www.netflix.com/ca/title/81154166
TV Show,Halo,"Master Chief John-117, a genetically enhanced soldier, leads a team to fight the Covenant — a theocratic union of aliens intent on destroying humanity.",Action,2021,1 Season,"Pablo Schreiber, Shabana Azmi, Natasha Culzac",Netflix,https://www.netflix.com/ca/title/81181219
Movie,Heaven Is for Real,"During surgery, the 4-year-old son of a pastor leaves his body and enters heaven. When he awakes, he recounts his visit to the other side.",Drama,2014,-,"Greg Kinnear, Kelly Reilly, Margo Martindale",Netflix,https://www.netflix.com/ca/title/70295734
Movie,Hidden Figures,Three brilliant Black women overcome bigotry and sexism at NASA to become the brains behind the launch of the first American astronaut into orbit.,Drama,2016,-,"Taraji P. Henson, Octavia Spencer, Janelle Monáe",Netflix,https://www.netflix.com/ca/title/80123775
Movie,Hitman,A nameless assassin carves a violent path across the globe as he tries to stay ahead of the powerful forces who want him dead at any cost.,Action,2007,-,"Timothy Olyphant, Dougray Scott, Olga Kurylenko",Netflix,https://www.netflix.com/ca/title/70065116
Movie,Hop,"After a fateful run-in with the Easter Bunny's runaway teenage son, an unemployed slacker takes over the rabbit's duties to help save the holiday.",Kids,2011,-,"James Marsden, Russell Brand, Kaley Cuoco",Netflix,https://www.netflix.com/ca/title/70142824
Movie,Hotel Transylvania 3: Summer Vacation,"It's love at first sight for Dracula when he meets Ericka, the charming but mysterious captain of the monster cruise that Mavis plans for the family.",Kids,2018,-,"Adam Sandler, Selena Gomez, Kevin James",Netflix,https://www.netflix.com/ca/title/80233925
TV Show,"House, M.D.","Hugh Laurie stars as Dr. Gregory House, an ornery physician who loathes his patients but is a genius at treating mysterious ailments.",Drama,2004,8 Seasons,"Hugh Laurie, Omar Epps, Robert Sean Leonard",Netflix,https://www.netflix.com/ca/title/70136117
TV Show,Inside,"Content creators take on a series of challenges to win a huge cash prize in this reality series from viral British YouTubers, the Sidemen.",Reality TV,2025,1 Season,,Netflix,https://www.netflix.com/ca/title/81943123
Movie,Interstellar,"With humanity teetering on the brink of extinction, a group of astronauts travels through a wormhole in search of another inhabitable planet.",Sci-Fi,2014,-,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",Netflix,https://www.netflix.com/ca/title/70305903
Movie,John Wick,"When a gangster's son steals his car and kills his dog, fearless ex-assassin John Wick takes on the entire mob to get his revenge.",Action,2014,-,"Keanu Reeves, Michael Nyqvist, Alfie Allen",Netflix,https://www.netflix.com/ca/title/80013762
Movie,Jurassic World: Dominion,"Catastrophe looms as dinosaurs live among humans in a volatile world, and heroes — both old and new — unite once more for a thrilling adventure.",Sci-Fi,2022,-,"Chris Pratt, Bryce Dallas Howard, Laura Dern",Netflix,https://www.netflix.com/ca/title/81489837
Movie,Justice League,Batman and Wonder Woman gather a new team of superheroes — and try to resurrect Superman — in hopes of defeating a foe unlike any they've faced before.,Action,2017,-,"Ben Affleck, Henry Cavill, Amy Adams",Netflix,https://www.netflix.com/ca/title/80187362
Movie,Kinda Pregnant,"When Lainy's plan to settle down and start a family falls apart, she puts on a fake baby bump, tells a lie — and accidentally falls for her dream guy.",Comedy,2025,-,"Amy Schumer, Jillian Bell, Brianne Howey",Netflix,https://www.netflix.com/ca/title/81416715
Movie,Kong: Skull Island,"A U.S. military and scientific team sets out to survey an uncharted remote island, unaware of the gigantic surprise that lies in wait for them.",Action,2017,-,"Tom Hiddleston, Samuel L. Jackson, Brie Larson",Netflix,https://www.netflix.com/ca/title/80139562
TV Show,"Krish, Trish & Baltiboy Bharat Hain Hum",The beloved trio of animal storytellers relates the stirring history of India's fight for freedom through true-life tales of courage and sacrifice.,Action,2023,2 Seasons,"Tarun Ratnani, Smita Malhotra, Deepak Chachra",Netflix,https://www.netflix.com/ca/title/81713009
Movie,Land of Bad,"After a Special Forces op in the Philippines goes bad, a rookie soldier relies on a remote Air Force drone pilot to survive in hostile territory.",Action,2024,-,"Liam Hemsworth, Russell Crowe, Luke Hemsworth",Netflix,https://www.netflix.com/ca/title/81747468
Movie,Leo,Adam Sandler is a lizard named Leo in this coming-of-age musical comedy about the last year of elementary school as seen through the eyes of a class pet.,Kids,2023,-,"Adam Sandler, Bill Burr, Cecily Strong",Netflix,https://www.netflix.com/ca/title/81218917
Movie,Lift,"A professional thief and his expert crew attempt the ultimate heist: stealing $500 million in gold from a vault on a plane — 40,000 feet in the air.",Action,2024,-,"Kevin Hart, Gugu Mbatha-Raw, Vincent D'Onofrio",Netflix,https://www.netflix.com/ca/title/81446739
TV Show,Lost,"After their plane crashes on a remote tropical island, the survivors must contend with hidden dangers and mysterious, malevolent forces to stay alive.",Sci-Fi,2004,6 Seasons,"Matthew Fox, Evangeline Lilly, Josh Holloway",Netflix,https://www.netflix.com/ca/title/70136118
TV Show,Love Is Blind,"Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person.",Reality TV,2020,8 Seasons,"Nick Lachey, Vanessa Lachey",Netflix,https://www.netflix.com/ca/title/80996601
TV Show,Love is Blind: Sweden,The unique dating experiment lands in Sweden as local singles seek true love and propose marriage — all before seeing each other in person.,Reality TV,2024,2 Seasons,Jessica Almenäs,Netflix,https://www.netflix.com/ca/title/81626839
TV Show,Lucifer,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",Drama,2016,6 Seasons,"Tom Ellis, Lauren German, Kevin Alejandro",Netflix,https://www.netflix.com/ca/title/80057918
Movie,Lucky Baskhar,A middle-class bank clerk who longs to trade stability for adventure gets more than he bargained for when he unexpectedly becomes a wealthy man.,Thriller,2024,-,"Dulquer Salmaan, Meenakshi Chaudhary, Ramki",Netflix,https://www.netflix.com/ca/title/81902035
TV Show,Medusa,Somebody wants to kill CEO Bárbara Hidalgo. Can she find the culprit as her family schemes ruthlessly for control of their Colombian business empire?,Drama,2025,1 Season,"Juana Acosta, Manolo Cardona, Sebastián Martínez",Netflix,https://www.netflix.com/ca/title/81683616
Movie,Meg 2: The Trench,"In the ocean's darkest depths, researchers fight for survival against monstrous sea creatures and an equally predatory mining operation.",Action,2023,-,"Jason Statham, Wu Jing, Shuya Sophia Cai",Netflix,https://www.netflix.com/ca/title/81670643
Movie,Megan Leavey,"Injured by an explosive device in Iraq, a Marine corporal fights to be reunited with the bomb-sniffing German shepherd who saved her life in combat.",Drama,2017,-,"Kate Mara, Edie Falco, Common",Netflix,https://www.netflix.com/ca/title/80170259
TV Show,Men on a Mission,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",Variety TV,2015,4 Seasons,"Kang Ho-dong, Seo Jang-hoon, Kim Young-chul",Netflix,https://www.netflix.com/ca/title/80176842
Movie,Minions,"Travel back in time with Kevin, Stuart and Bob in this prequel that follows the Minions as they try to win the favor of supervillain Scarlet Overkill.",Kids,2015,-,"Sandra Bullock, Jon Hamm, Michael Keaton",Netflix,https://www.netflix.com/ca/title/80033394
Movie,Minions: The Rise of Gru,"Rejected by his supervillain idols, 12-year-old Gru sets out to prove his despicable nature with the help of his bumbling team of Minions.",Kids,2022,-,"Steve Carell, Pierre Coffin, Alan Arkin",Netflix,https://www.netflix.com/ca/title/81198916
Movie,Mission: Impossible - Dead Reckoning,"With time running out and enemies at every turn, Ethan Hunt and his IMF team race to prevent a rogue artificial intelligence from taking over the world.",Action,2023,-,"Tom Cruise, Hayley Atwell, Ving Rhames",Netflix,https://www.netflix.com/ca/title/81665878
