Type,Name,Description,Genre,Release Date,Season,Cast,Platform,Link
TV Show,LOL: Last One Laughing Quebec,"Get set for round three of LOL : Qui rira le dernier?! Embark on this hilarious 6-hour rollercoaster ride as Patrick Huard welcomes ten new comics to his mansion. Watch them go head-to-head, aiming to crack up their opponents while trying to keep a straight face themselves. Can you predict who will win $100,000 for charity? Tune in to find out!",Comedy,2025,Season 3,"Patrick Huard, Jean-Michel Anctil, R√©al B√©land, Anne-√âlisabeth Boss√©, Mona De Grenoble, Jo Cormier, Kornie C√¥t√©, Maude Landry, M√©lanie Maynard, Dominic Paquet, Erich Preach",Amazon Prime Video,https://www.primevideo.com/detail/0FLCBXTOLIAZWXQ6ZLES7UQIJG/ref=atv_br_def_r_br_c_unkc_1_11
TV Show,Two and a Half Men,"Welcome back to the Harpers' Malibu beach house - home to one of the funniest TV comedy hits in a long, long time. Resolute bachelor Charlie's trying (but not very hard) to remember the name of the girl currently taking a shower upstairs.",Comedy,2004,Season 12,"Charlie Sheen, Jon Cryer, Angus T. Jones, Marin Hinkle, Melanie Lynskey, Conchata Ferrell, Holland Taylor",Amazon Prime Video,https://www.primevideo.com/detail/0LINJM3SDZ4OMTG7VF8Q0K1A2R/ref=atv_br_def_r_br_c_unkc_1_12
TV Show,Hazbin Hotel,"This adult animated musical series follows Charlie, the princess of Hell, as she pursues her seemingly impossible goal of rehabilitating demons to peacefully reduce overpopulation in her kingdom. After a yearly extermination that was imposed by Heaven, she opens a hotel in the hopes that patrons will be ""checking out"" after proving their souls are redeemable.",Comedy,2024,Season 1,"Erika Henningsen, Stephanie Beatriz, Blake Roman",Amazon Prime Video,https://www.primevideo.com/detail/0HZWTBZYQQXYW48YBANMDM2MZE/ref=atv_br_def_r_br_c_unkc_1_13
TV Show,Suits,"Big-time Manhattan corporate lawyer Harvey Specter and his team, which includes Donna Paulsen, Louis Litt, and Alex Williams, are launched into a play for power when a new partner joins the firm. With his two best associates gone and Jessica back in Chicago, Specter and the team try to adjust to a new normal without them. The team faces down betrayals, fiery relationships, and secrets that eventua",Drama,2025,Season 9,"Gabriel Macht,†Rick Hoffman,†Sarah Rafferty",Amazon Prime Video,https://www.primevideo.com/detail/0LE8P659WDO9L5S8D3WDXMKC6T/ref=atv_br_def_r_br_c_unkc_1_14
TV Show,Newtopia,"Jae-yoon, a late military enlistee, and his girlfriend, Young-joo, break up over the phone over growing misunderstandings. But a zombie outbreak rocks the world. A national emergency is declared, a plane crashes in the city center, and Jae-yoon and his unit get trapped on top of a Seoul skyscraper. Young-joo risks the zombie-filled streets to find him. Can their love survive the apocalypse?",Comedy,2025,Season 1,"Park Jeong-min, Ji Soo",Amazon Prime Video,https://www.primevideo.com/detail/0K0HG6D7M5NDA4A232WIOJGTTJ/ref=atv_br_def_r_br_c_unkc_1_15
TV Show,Superstore,"Starring America Ferrera, Ben Feldman and Mark McKinney, sitcom `Superstore' follows the lives of a group of employees, who work at a fictional big-box store in St Louis, Missouri. Season one sees a new employee making a terrible first impression.",Comedy,2015,Season 6,"America Ferrera, Ben Feldman, Mark McKinney, Lauren Ash, Colton Dunn, Nichole Bloom, Nico Santos",Amazon Prime Video,https://www.primevideo.com/detail/0OXKHNUP7FWLIL2AYZVAPIFH4P/ref=atv_br_def_r_br_c_unkc_1_16
TV Show,Sausage Party: Foodtopia,"After killing off all of humanity, Food attempts to create their own utopia.",Animation,2024,Season 1,"Seth Rogen, Kristen Wiig, Edward Norton",Amazon Prime Video,https://www.primevideo.com/detail/0OF04HZA1UKS8U98EKV2XB8JI2/ref=atv_br_def_r_br_c_unkc_1_17
TV Show,Mom: The Complete First Season,"From hitmaker Chuck Lorre comes his next big comedy - an irreverent and outrageous take on true family love - and dysfunction. Newly sober single mom Christy struggles to raise two children in a world full of temptations and pitfalls. Testing her sobriety is her formerly estranged mother, now back in Christy's life and eager to share passive-aggressive insights into her daughter's many mistakes.",Comedy,2013,Season 1,"Anna Faris, Allison Janney, Sadie Calvano, Nate Corddry, Matt Jones, French Stewart, Spencer Daniels, Blake Garrett Rosenthal",Amazon Prime Video,https://www.primevideo.com/detail/0M0OBKI9Q7DUASKLULGYBCBAIX/ref=atv_br_def_r_br_c_unkc_1_18
TV Show,Younger,"Liza, a 40-year-old single mother, pretends to be younger than she is, in order to find a job in her desired field of work and excel in her career.",Comedy,2015,Season 1,"Hilary Duff, Sutton Foster",Amazon Prime Video,https://www.primevideo.com/detail/0LAWF1TUJXA3DTFW1SY22R8IPH/ref=atv_br_def_r_br_c_unkc_1_19
TV Show,The Office,"In this US adaptation of iconic British sitcom 'The Office', Steve Carrell stars as office manager Michael Scott in Scranton, Pennsylvania. This mockumentary follows the everyday cubicle lives of the staff in Michael's office and their exploits.",Comedy,2004,Season 9,"Steve Carell, Rainn Wilson, John Krasinski, Jenna Fischer, B.J. Novak, Melora Hardin, David Denman, Leslie David Baker, Brian Baumgartner, Creed Bratton, Kate Flannery, Mindy Kaling, Angela Kinsey, Paul Lieberstein, Oscar Nu√±ez, Craig Robinson, Phyllis Smith",Amazon Prime Video,https://www.primevideo.com/detail/0H7JFOPK2QO9WVZ8D9D0J5ZRQN/ref=atv_br_def_r_br_c_unkc_1_20
TV Show,Par de Ideotas,"Vadhir and JosÈ Eduardo Derbez open a pop-up bar together, but opening a business for the first time is anything but easy! With the pressure of trying to make it a success, the brothers work hard but not without crazy and unexpected issues!",Comedy,2025,Season 1,"Vadhir Derbez, Jos√© Eduardo Derbez",Amazon Prime Video,https://www.primevideo.com/detail/0PVJFP72O9VEKXWDC3SINB3PDR/ref=atv_br_def_r_br_c_OBb81312s_1_21
TV Show,Mr. & Mrs. Smith,"Nominated for 16 EmmyÆ Awards including Outstanding Drama Series ñ Meet the Smiths: two lonely strangers, John and Jane, who have given up their lives and identities to be thrown together as partners ñ both in espionage and in marriage.",Comedy,2024,Season 1,"Donald Glover, Maya Erskine, Wagner Moura, Parker Posey, Paul Dano, John Turturro, Michaela Coel, Eiza Gonz√°les, Alexander Skarsg√•rd, Sarah Paulson, Sharon Horgan, Ron Perlman",Amazon Prime Video,https://www.primevideo.com/detail/0PIZV55NTVMF63RT9SF6CE1TN3/ref=atv_br_def_r_br_c_OBb81312s_1_22
TV Show,The Grand Tour,"Jeremy Clarkson, Richard Hammond and James May are back with The Grand Tour. A show about adventure, excitement and friendship... as long as you accept that the people you call friends are also the ones you find extremely annoying. Sometimes it's even a show about cars. Follow them on their global adventure. Episodes contain product placement.",Comedy,2016,Season 1,"Jeremy Clarkson, Richard Hammond, James May",Amazon Prime Video,https://www.primevideo.com/detail/0PQETKSPCYRRYT0IFUIS9G1CQ2/ref=atv_br_def_r_br_c_OBb81312s_1_23
TV Show,Good Omens,"Aziraphale and Crowley, of Heaven and Hell respectively, have grown rather fond of the Earth. So it's terrible news that it's about to end. The armies of Good and Evil are amassing. The Four Horsemen are ready to ride. Everything is going according to the Divine Plan‚Ä¶except that someone seems to have misplaced the Antichrist. Can our heroes find him and stop Armageddon before it's too late?",Comedy,2019,Season 1,"Michael Sheen, David Tennant, Adria Arjona, Miranda Richardson, Michael McKean, Jack Whitehall, Nick Offerman, Mireille Enos, Benedict Cumberbatch, Daniel Mays, Si√¢n Brooke, Sam Taylor Buck, Ned Dennehy, Anna Maxwell Martin, Brian Cox, Derek Jacobi, David Morrissey, Bill Paterson, Andy Hamilton, Yusuf Gatewood, Doon Mackichan, Mark Gatiss, Steve Pemberton, Reece Shearsmith, Johnny Vegas, Simon Merells, Frances McDormand, Jon Hamm",Amazon Prime Video,https://www.primevideo.com/detail/0N4OPSBX6TV4Y1WU0O8ELH2D4T/ref=atv_br_def_r_br_c_OBb81312s_1_24
TV Show,Fleabag,"Fleabag is a hilarious and poignant window into the mind of a dry-witted, sexual, angry, grief-riddled woman, as she hurls herself at modern living in London. Award-winning playwright Phoebe Waller-Bridge writes and stars as Fleabag, an unfiltered woman trying to heal, while rejecting anyone who tries to help her and keeping up her bravado all along.",Comedy,2016,Season 2,"Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Bill Paterson, Brett Gelman, Hugh Skinner, Hugh Dennis, Ben Aldridge, Jamie Demetriou, Jenny Rainsford",Amazon Prime Video,https://www.primevideo.com/detail/0OB9NDUVQKFRSYRSCHT2A784TI/ref=atv_br_def_r_br_c_OBb81312s_1_25
TV Show,Iliza Shlesinger: A Different Animal,"Acclaimed comedian Iliza Shlesinger debuts on Amazon Prime with a no-holds -barred, explosive and relentlessly funny hour special where she covers everything from shower sex, ugly wives and the ideal man to the truth about the ONE thing no woman wants‚Ä¶ in this special, nothing is off limits.",Comedy,2025,Season 1,Iliza Shlesinger,Amazon Prime Video,https://www.primevideo.com/detail/0OGQTOLPRVIG1OEF8TZC4R67VQ/ref=atv_br_def_r_br_c_OBb81312s_1_26
TV Show,Fugget About It,Jimmy Falcone enters the Witness Protection Program and brings his family along for the ride.,Animation,2019,Season 1,"Tony Nappo, Jacqueline Pillon, Emilie-Claire Barlow",Amazon Prime Video,https://www.primevideo.com/detail/0S807G8HHJZR7WCE7WJXOMBBLF/ref=atv_br_def_r_br_c_OBb81312s_1_27
TV Show,The Marvelous Mrs. Maisel,"In 1958 New York, Midge Maisel's life is on track- husband, kids, and elegant Yom Kippur dinners in their Upper West Side apartment. But when her life takes a surprise turn, she has to quickly decide what else she's good at - and going from housewife to stand-up comic is a wild choice to everyone but her. The Marvelous Mrs. Maisel is written and directed by Amy Sherman-Palladino (Gilmore Girls).",Comedy,2017,Season 1,"Alex Borstein, Marin Hinkle, Rachel Brosnahan, Michael Zegen, Tony Shalhoub",Amazon Prime Video,https://www.primevideo.com/detail/0SKQT5MHXXQ50OZ9FXYRFVEQM7/ref=atv_br_def_r_br_c_OBb81312s_1_28
TV Show,Call of the Night,"Ko's new companion, Nazuna, could offer him dark gifts and a vampire's immortality. But there are conditions that Ko must meet before he can sink his teeth into vampirism, and hell discover just how far he's willing to go to satisfy his desires.",Fantasy,2022,Season 1,"Sora Amamiya,†Gen Sato",Amazon Prime Video,https://www.primevideo.com/detail/0SK1DMJLCZPSKXS7GYT1E86CYZ/ref=atv_br_def_r_br_c_OBb81312s_1_29
TV Show,Call Me Bae,"Downsized from heiress to hustler, Bella 'Bae' Chowdhary played by Ananya Panday discovers her most valuable assets arent her diamonds, but her street smarts and style. Broke, but refusing to be broken, she navigates the newsrooms of Mumbai, finding beaus, behens, and her better self while breaking big news.",Comedy,2024,Season 1,"Ananya Panday, Vir Das, Gurfateh Pirzada, Varun Sood, Vihaan Samat, Muskkaan Jaferi, Niharika Lyra Dutt, Lisa Mishra, Mini Mathur, Sahil Shroff, Riya Sen, Shiv Masand",Amazon Prime Video,https://www.primevideo.com/detail/0TF2BODX83KZOWTP08NXFE897E/ref=atv_br_def_r_br_c_OBb81312s_1_30
TV Show,Sins of Love,"Sins of Love is an exhilarating parody of popular soap operas. This outrageous series pushes love affairs, scandals, power struggles, family drama, and betrayals to the extreme. In this wildly unpredictable universe, schemes and endless twists embody the classic battle between good and evil.",Comedy,2005,Season 1,"Marc LabrËche,†Anne Dorval",Amazon Prime Video,https://www.primevideo.com/detail/0F6UKKC48SWPUJE7IDG6BMHQME/ref=atv_br_def_r_br_c_OBb81312s_1_31
TV Show,Clarkson's Farm,"After the triumphant finale of Season 2, we return to Diddly Squat to find everything in turmoil. The council has shut the restaurant and the weather is ruining the crops. Desperate for new income streams Jeremy enters a world of pig breeding, goat attacks and mushroom mountains. Meanwhile Kaleb, promoted to farm manager, deals with an unwelcome rival. The funniest, most heartbreaking season yet.",Comedy,2024,Season 3,Jeremy Clarkson,Amazon Prime Video,https://www.primevideo.com/detail/0HO8ENK0AIDHSLMA7DJV43S6YS/ref=atv_br_def_r_br_c_OBb81312s_1_32
TV Show,The Sticky,"The Sticky is a comedy-drama series about Ruth Landry, a maple syrup farmer who, in defiance of a heartless system, assembles a team to undertake the Canadian heist of the century. The target: the country's multi-million dollar maple syrup surplus.",Comedy,2024,Season 1,"Margo Martindale,†Chris Diamantopoulos,†Guillaume Cyr",Amazon Prime Video,https://www.primevideo.com/detail/0MH2ARHVWK6J2GROZ6ZZ7FFA9H/ref=atv_br_def_r_br_c_OBb81312s_1_33
TV Show,Gen V,"From the world of The Boys comes Gen V, a thrilling new series set at America's only college for superheroes. These gifted students put their moral boundaries to the test, competing for the university's top ranking, and a chance to join The Seven, Vought International's elite superhero team. When the school's dark secrets come to light, they must decide what kind of heroes they want to become.",Action,2023,Season 1,"Jaz Sinclair, Chance Perdomo, Patrick Schwarzenegger, Lizze Broadway, Maddie Phillips, London Thor, Derek Luh, Asa German, Shelley Conn",Amazon Prime Video,https://www.primevideo.com/detail/0QL016992N86EED5P1FO3ER0P5/ref=atv_br_def_r_br_c_OBb81312s_1_34
TV Show,Archer,"Archer is an animated half-hour comedy set at ISIS, an international spy agency, where global crises are merely opportunities for its highly trained employees to confuse, undermine, betray and royally screw each other.",Animation,2010,Season 1,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell, Aisha Tyler, Jessica Walter, Adam Reed, Peter Newman, Jessica Walter, Maggie Wheele",Amazon Prime Video,https://www.primevideo.com/detail/0NOX5SFZ4GAYO0W3QHEFAZD44R/ref=atv_br_def_r_br_c_OBb81312s_1_35
TV Show,The Conners,"The Conners follows America's favourite family as they continue to face the daily struggles of life in Lanford. Dan, Jackie, Darlene, Becky and D.J. will continue to grapple with parenthood, dating, financial pressures, unexpected pregnancy, in-laws and aging in working-class America. Through it all - the fights, the coupon cutting, the hand-me-downs, the breakdowns - with love, humor and persever",Comedy,2019,Season 5,"John Goodman,†Sara Gilbert,†Laurie Metcalf",Amazon Prime Video,https://www.primevideo.com/detail/0QO86Q05Q2IVZYLZ3NOP9HJRBU/ref=atv_br_def_r_br_c_OBb81312s_1_36
TV Show,Tom Green Country,"Tom Green Country offers a funny and heartwarming glimpse into the hilarious life of the infamous comedian as he relocates from Los Angeles to a simpler life on his new remote farm. But farm life isnt easy. Tom scrambles to repair his century-old barns, build fences, install a chicken coop and take ownership of a variety of livestock! Has Tom Green finally bitten off more than he can chew?",Comedy,2025,Season 1,Amazon Studios,Amazon Prime Video,https://www.primevideo.com/detail/0O1NI7U9LTKFN3EK62F5NFUC4T/ref=atv_br_def_r_br_c_OBb81312s_1_37
